test,PK-1211,MR TORIKUL,CHINA SHIP MIX,HAIR ACCESSORIES/JEWELRY/LIGHTS/TAPE,16.5,16.5,750,12375
test,PK-1212,MR TORIKUL,CHINA SHIP ,CLOCKWORK CHICKEN TOY,5,5,750,3750
test,PK-1213,ALI-OFFICE,FAYSAL/ALI,MAN SLIDE ,24,23,770,17710
test,PK-1214,ALI-OFFICE,FAYSAL/ALI,MAN SLIDE,20.5,20.2,770,15554
test,PK-1215,ALI-OFFICE,FAYSAL/ALI,MAN SLIDE,13,13,770,10010
test,PK-1216,ALI-OFFICE,FAYSAL/ALI,MAN SLIDE,16,16.15,770,12435.5
test,PK-1217,CPEX,CPEX BR,HOSPITAL BED MATRESS,9.5,9.4,800,7520
test,PK-1218,AS-ASHUK,MA-647,CALIBRATION WEIGHT SET,13.5,13.2,725,9570
test,PK-1219,SHOHEL CTG,BFD-SHOHACCTG/PRODIP,CAR MULTIMEDIA PLAYER,11.05,11,750,8250
test,PK-1220,SHOHEL CTG,BFD-SHOHACCTG/PRODIP,CAR MULTIMEDIA PLAYER,18,18,750,13500
test,PK-1221,SHOHEL CTG,BFD-SHOHACCTG/PRODIP,CAR MULTIMEDIA PLAYER,18,18,750,13500
test,PK-1222,SHOHEL CTG,BFD-SHOHACCTG/PRODIP,CAR MULTIMEDIA PLAYER,16.7,16.7,750,12525
test,PK-1223,ARQUE,FAHIM/ARQUO,MOTORCYCLE PARTS,3.5,3.2,780,2496
test,PK-1224,AS-ASHUK,MA-182,CYLINDER BRACKET,30,28,725,20300
test,PK-1225,DEAR BD,DEAR BD 5117,BEAUTY HAIR ITEMS,6.5,6.5,750,4875
test,PK-1226,AS-ASHUK,MA-182 BY AIR,COVER TAPE,51,50.8,725,36830
test,PK-1227,PSB,PSB,RIBBON ,7.1,7.1,750,5325
